,Unnamed: 0,eid,Author_ID,Affiliation_ID,cite,Auth_Ave_Cites,IsHigh
751,2816,2-s2.0-49349105909,7403345932,60002593,2,not high,0
752,2822,2-s2.0-47649132793,35390032700,60021947,5,not high,0
755,2826,2-s2.0-38049033443,16645867400,60029507,5,not high,0
758,2832,2-s2.0-43849093158,36780034800,60017161,1,not high,0
760,2836,2-s2.0-84886012461,7102873814,60009543,14,not high,0
761,2848,2-s2.0-60849115679,6603868509,60008950,1,not high,0
762,2852,2-s2.0-84855547055,7202766502,60004898,1,not high,0
763,2855,2-s2.0-47649083826,6504537505,60000745,3,not high,0
765,2860,2-s2.0-47649086181,14054613500,60032333,8,not high,0
766,2861,2-s2.0-38149129421,15130648000,60052951,8,not high,0
769,2868,2-s2.0-38149058219,7202857377,60015138,2,not high,0
770,2874,2-s2.0-38949102609,55893670600,60012008,23,not high,0
